seasonNumber,speakerName,mentionedName,mentions
1,Chandler,Joey,29
1,Chandler,Monica,8
1,Chandler,Phoebe,10
1,Chandler,Rachel,19
1,Chandler,Ross,15
1,Joey,Chandler,10
1,Joey,Monica,7
1,Joey,Phoebe,18
1,Joey,Rachel,4
1,Joey,Ross,27
1,Monica,Chandler,12
1,Monica,Joey,19
1,Monica,Phoebe,17
1,Monica,Rachel,35
1,Monica,Ross,29
1,Phoebe,Chandler,6
1,Phoebe,Joey,9
1,Phoebe,Monica,11
1,Phoebe,Rachel,9
1,Phoebe,Ross,8
1,Rachel,Chandler,15
1,Rachel,Joey,9
1,Rachel,Monica,35
1,Rachel,Phoebe,28
1,Rachel,Ross,32
1,Ross,Chandler,11
1,Ross,Joey,10
1,Ross,Monica,13
1,Ross,Phoebe,20
1,Ross,Rachel,29
2,Chandler,Joey,8
2,Chandler,Monica,8
2,Chandler,Phoebe,1
2,Chandler,Rachel,1
2,Chandler,Ross,4
2,Joey,Chandler,7
2,Joey,Monica,2
2,Joey,Phoebe,6
2,Joey,Rachel,2
2,Joey,Ross,7
2,Monica,Chandler,3
2,Monica,Joey,1
2,Monica,Phoebe,5
2,Monica,Rachel,9
2,Monica,Ross,3
2,Phoebe,Chandler,2
2,Phoebe,Joey,1
2,Phoebe,Monica,4
2,Phoebe,Rachel,3
2,Phoebe,Ross,6
2,Rachel,Chandler,4
2,Rachel,Joey,0
2,Rachel,Monica,10
2,Rachel,Phoebe,5
2,Rachel,Ross,12
2,Ross,Chandler,5
2,Ross,Joey,5
2,Ross,Monica,5
2,Ross,Phoebe,11
2,Ross,Rachel,11
3,Chandler,Joey,77
3,Chandler,Monica,19
3,Chandler,Phoebe,25
3,Chandler,Rachel,41
3,Chandler,Ross,43
3,Joey,Chandler,65
3,Joey,Monica,29
3,Joey,Phoebe,33
3,Joey,Rachel,25
3,Joey,Ross,26
3,Monica,Chandler,51
3,Monica,Joey,55
3,Monica,Phoebe,64
3,Monica,Rachel,56
3,Monica,Ross,45
3,Phoebe,Chandler,42
3,Phoebe,Joey,36
3,Phoebe,Monica,65
3,Phoebe,Rachel,28
3,Phoebe,Ross,38
3,Rachel,Chandler,36
3,Rachel,Joey,31
3,Rachel,Monica,53
3,Rachel,Phoebe,42
3,Rachel,Ross,127
3,Ross,Chandler,32
